"grid","EASTING","NORTHING"
"NN54",255000,745000
"NN55",255000,755000
"NN56",255000,765000
"NN57",255000,775000
"NN58",255000,785000
"NN59",255000,795000
"NN60",265000,705000
"NN61",265000,715000
"NN62",265000,725000
"NN63",265000,735000
"NN64",265000,745000
"NN65",265000,755000
"NN66",265000,765000
"NN67",265000,775000
"NN68",265000,785000
"NN69",265000,795000
"NN70",275000,705000
"NN71",275000,715000
"NN72",275000,725000
"NN73",275000,735000
"NN74",275000,745000
"NN75",275000,755000
"NN76",275000,765000
"NN77",275000,775000
"NN78",275000,785000
"NN79",275000,795000
"NN80",285000,705000
"NN81",285000,715000
"NN82",285000,725000
"NN83",285000,735000
"NN84",285000,745000
"NN85",285000,755000
"NN86",285000,765000
"NN87",285000,775000
"NN88",285000,785000
"NN89",285000,795000
"NN90",295000,705000
"NN91",295000,715000
"NN92",295000,725000
"NN93",295000,735000
"NN94",295000,745000
"NN95",295000,755000
"NN96",295000,765000
"NN97",295000,775000
"NN98",295000,785000
"NN99",295000,795000
"NO00",305000,705000
"NO01",305000,715000
"NO02",305000,725000
"NO03",305000,735000
"NO04",305000,745000
"NO05",305000,755000
"NO06",305000,765000
"NO07",305000,775000
"NO08",305000,785000
"NO09",305000,795000
"NO10",315000,705000
"NO11",315000,715000
"NO12",315000,725000
"NO13",315000,735000
"NO14",315000,745000
"NO15",315000,755000
"NO16",315000,765000
"NO17",315000,775000
"NO18",315000,785000
"NO19",315000,795000
"NO20",325000,705000
"NO21",325000,715000
"NO22",325000,725000
"NO23",325000,735000
"NO24",325000,745000
"NO25",325000,755000
"NO26",325000,765000
"NO27",325000,775000
"NO28",325000,785000
"NO29",325000,795000
"NO30",335000,705000
"NO31",335000,715000
"NO32",335000,725000
"NO33",335000,735000
"NO34",335000,745000
"NO35",335000,755000
"NO36",335000,765000
"NO37",335000,775000
"NO38",335000,785000
"NO39",335000,795000
"NO40",345000,705000
"NO41",345000,715000
"NO42",345000,725000
"NO43",345000,735000
"NO44",345000,745000
"NO45",345000,755000
"NO46",345000,765000
"NO47",345000,775000
"NO48",345000,785000
"NO49",345000,795000
"NO50",355000,705000
"NO51",355000,715000
"NO52",355000,725000
"NO53",355000,735000
"NO54",355000,745000
"NO55",355000,755000
"NO56",355000,765000
"NO57",355000,775000
"NO58",355000,785000
"NO59",355000,795000
"NO60",365000,705000
"NO61",365000,715000
"NO63",365000,735000
"NO64",365000,745000
"NO65",365000,755000
"NO66",365000,765000
"NO67",365000,775000
"NO68",365000,785000
"NO69",365000,795000
"NO74",375000,745000
"NO75",375000,755000
"NO76",375000,765000
"NO77",375000,775000
"NO78",375000,785000
"NO79",375000,795000
"NO86",385000,765000
"NO87",385000,775000
"NO88",385000,785000
"NO89",385000,795000
"NO99",395000,795000
"NR15",115000,655000
"NR16",115000,665000
"NR24",125000,645000
"NR25",125000,655000
"NR26",125000,665000
"NR27",125000,675000
"NR34",135000,645000
"NR35",135000,655000
"NR36",135000,665000
"NR37",135000,675000
"NR38",135000,685000
"NR39",135000,695000
"NR44",145000,645000
"NR45",145000,655000
"NR46",145000,665000
"NR47",145000,675000
"NR49",145000,695000
"NR50",155000,605000
"NR56",155000,665000
"NR57",155000,675000
"NR58",155000,685000
"NR59",155000,695000
"NR60",165000,605000
"NR61",165000,615000
"NR62",165000,625000
"NR63",165000,635000
"NR64",165000,645000
"NR65",165000,655000
"NR67",165000,675000
"NR68",165000,685000
"NR69",165000,695000
"NR70",175000,605000
"NR71",175000,615000
"NR72",175000,625000
"NR73",175000,635000
"NR74",175000,645000
"NR75",175000,655000
"NR76",175000,665000
"NR77",175000,675000
"NR78",175000,685000
"NR79",175000,695000
"NR82",185000,625000
"NR83",185000,635000
"NR84",185000,645000
"NR85",185000,655000
"NR86",185000,665000
"NR87",185000,675000
"NR88",185000,685000
"NR89",185000,695000
"NR92",195000,625000
"NR93",195000,635000
"NR94",195000,645000
"NR95",195000,655000
"NR96",195000,665000
"NR97",195000,675000
"NR98",195000,685000
"NR99",195000,695000
"NS01",205000,615000
"NS02",205000,625000
"NS03",205000,635000
"NS04",205000,645000
"NS05",205000,655000
"NS06",205000,665000
"NS07",205000,675000
"NS08",205000,685000
"NS09",205000,695000
"NS10",215000,605000
"NS14",215000,645000
"NS15",215000,655000
"NS16",215000,665000
"NS17",215000,675000
"NS18",215000,685000
"NS19",215000,695000
"NS20",225000,605000
"NS21",225000,615000
"NS23",225000,635000
"NS24",225000,645000
"NS25",225000,655000
"NS26",225000,665000
"NS27",225000,675000
"NS28",225000,685000
"NS29",225000,695000
"NS30",235000,605000
"NS31",235000,615000
"NS32",235000,625000
"NS33",235000,635000
"NS34",235000,645000
"NS35",235000,655000
"NS36",235000,665000
"NS37",235000,675000
"NS38",235000,685000
"NS39",235000,695000
"NS40",245000,605000
"NS41",245000,615000
"NS42",245000,625000
"NS43",245000,635000
"NS44",245000,645000
"NS45",245000,655000
"NS46",245000,665000
"NS47",245000,675000
"NS48",245000,685000
"NS49",245000,695000
"NS50",255000,605000
"NS51",255000,615000
"NS52",255000,625000
"NS53",255000,635000
"NS54",255000,645000
"NS55",255000,655000
"NS56",255000,665000
"NS57",255000,675000
"NS58",255000,685000
"NS59",255000,695000
"NS60",265000,605000
"NS61",265000,615000
"NS62",265000,625000
"NS63",265000,635000
"NS64",265000,645000
"NS65",265000,655000
"NS66",265000,665000
"NS67",265000,675000
"NS68",265000,685000
"NS69",265000,695000
"NS70",275000,605000
"NS71",275000,615000
"NS72",275000,625000
"NS73",275000,635000
"NS74",275000,645000
"NS75",275000,655000
"NS76",275000,665000
"NS77",275000,675000
"NS78",275000,685000
"NS79",275000,695000
"NS80",285000,605000
"NS81",285000,615000
"NS82",285000,625000
"NS83",285000,635000
"NS84",285000,645000
"NS85",285000,655000
"NS86",285000,665000
"NS87",285000,675000
"NS88",285000,685000
"NS89",285000,695000
"NS90",295000,605000
"NS91",295000,615000
"NS92",295000,625000
"NS93",295000,635000
"NS94",295000,645000
"NS95",295000,655000
"NS96",295000,665000
"NS97",295000,675000
"NS98",295000,685000
"NS99",295000,695000
"NT00",305000,605000
"NT01",305000,615000
"NT02",305000,625000
"NT03",305000,635000
"NT04",305000,645000
"NT05",305000,655000
"NT06",305000,665000
"NT07",305000,675000
"NT08",305000,685000
"NT09",305000,695000
"NT10",315000,605000
"NT11",315000,615000
"NT12",315000,625000
"NT13",315000,635000
"NT14",315000,645000
"NT15",315000,655000
"NT16",315000,665000
"NT17",315000,675000
"NT18",315000,685000
"NT19",315000,695000
"NT20",325000,605000
"NT21",325000,615000
"NT22",325000,625000
"NT23",325000,635000
"NT24",325000,645000
"NT25",325000,655000
"NT26",325000,665000
"NT27",325000,675000
"NT28",325000,685000
"NT29",325000,695000
